,SUBMITTED_DATE,CASE_NO,PROGRAM_DESIGNATION,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_COUNTY,EMPLOYER_POSTAL_CODE,NBR_IMMIGRANTS,BEGIN_DATE,END_DATE,JOB_TITLE,DOL_DECISION_DATE,OCCUPATIONAL_CODE,OCCUPATIONAL_TITLE,APPROVAL_STATUS,WAGE_RATE_1,RATE_PER_1,MAX_RATE_1,PART_TIME_1,CITY_1,STATE_1,PREVAILING_WAGE_1,WAGE_SOURCE_1,YR_SOURCE_PUB_1,OTHER_WAGE_SOURCE_1,WAGE_RATE__2,RATE_PER_2,MAX_RATE_2,PART_TIME_2,CITY_2,STATE_2,PREVAILING_WAGE_2,WAGE_SOURCE_2,YR_SOURCE_PUB_2,OTHER_WAGE_SOURCE_2,WITHDRAWN
74396,2009-02-10,I-09041-4663321,R,"FIBERSTAR, INC.",3023 15TH ST SW,,WILLMAR,MN,KANDIYOHI,56201,1,2009-08-09,2012-08-08,SENIOR SCIENTIST,2009-02-10,40.0,OCCUPATIONS IN AGRICULTURAL SCIENCES,CERTIFIED,78000,YR,,N,RIVER FALLS,WI,55806,Other,2008.0,OES,,,,,,,,,,,N
243527,2009-06-09,I-09160-5005913,A,CPT GLOBAL INC,"410 PARK AVENUE, 15TH FLOOR",,NEW YORK,NY,NEW YORK,10022,1,2009-08-01,2011-08-01,SENIOR TECHNICAL CONSULTANT,2009-06-09,39.0,OTHER COMPUTER-RELATED OCCUPATIONS,CERTIFIED,144893,YR,,N,NEW YORK,NY,85488,Other,2008.0,OES-ONLINE WAGE LIBRARY,,,,,,,,,,,N
175079,2009-03-30,I-09089-4867697,R,AL HALWAN TEXTILE TRADING INC.,36-25 MAIN STREET,,FLUSHING,NY,QUEENS,11354,1,2009-09-29,2012-09-28,FINANCIAL SPECIALISTS,2009-03-30,186.0,"FINANCE, INSURANCE, AND REAL ESTATE MANAGERS AND OFFICIALS",CERTIFIED,46000,YR,,N,FLUSHING,NY,45908,Other,2008.0,FLC,,,,,,,,,,,N
219303,2009-05-08,I-09128-4957055,R,EMORY UNIVERSITY HUMAN RESOURCES,1599 CLIFTON ROAD,,ATLANTA,GA,DEKALB,30322,1,2009-06-27,2010-06-30,FELLOW IN CYTOPATHOLOGY,2009-05-08,90.0,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,CERTIFIED,52070,YR,,N,ATLANTA,GA,34258,SESA,,,,,,,,,,,,,Y
61203,2009-01-21,I-09021-4634877,R,"KALVEN TECHNOLOGIES, INC.","2300 E. HIGGINS ROAD, SUITE 211",,ELK GROVE VILLAGE,IL,COOK,60007,1,2009-01-21,2012-01-21,PROGRAMMER ANALYST,2009-01-21,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,56000,YR,,N,ELK GROVE VILLAGE,IL,55058,Other,2009.0,GEOGRAPHIC ASSESSOR,,,,,,,,,,,N
30053,2008-11-19,I-08324-4570831,R,THE TURNER CONSULTING GROUP,"ONE MARKET STREET, SPEAR TOWER",36TH FLOOR,SAN FRANCISCO,CA,SAN FRANCISCO,94105,1,2008-11-21,2011-11-21,SENIOR CONSULTANT (ACCOUNTANT/AUDITOR),2008-11-19,160.0,"ACCOUNTANT, AUDITORS, AND RELATED OCCUPATIONS",CERTIFIED,82000,YR,,N,SAN FRANCISCO,CA,74173,Other,2008.0,OES/SOC,,,,,,,,,,,N
80233,2009-02-16,I-09047-4676109,R,SOFTWARE SOLUTIONS GROUP INC,3300  BUCKEYE RD,SUITE 200,ATLANTA,GA,DEKALB,30341,1,2009-02-16,2010-02-15,SYSTEMS ANALYST,2009-02-16,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,55661,YR,56000.0,N,PLEASANTON,CA,55661,Other,2009.0,   ONLINE WAGE LIBRARY,,,,,,,,,,,N
126058,2009-03-17,I-09076-4776021,R,UST GLOBAL INC.,120 VANTIS,,ALISO VIEJO,CA,ORANGE,92656,1,2009-09-10,2012-09-10,SYSTEMS ANALYST,2009-03-17,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,46779,YR,,N,VALENCIA,CA,46779,Other,2008.0,OES ONLINE WAGE LIBRARY,,,,,,,,,,,N
196310,2009-04-14,I-09104-4910573,R,DOINGWAP.NET INC.,"14 WASHINGTON ROAD, BLDG#7, 2ND FLOOR",SUITE 202,PRINCETON JCT,NJ,MERCER,8550,1,2009-10-01,2012-09-30,SAS  PROGRAMMER,2009-04-14,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,75000,YR,,N,PRINCETON JCT,NJ,64272,Other,2009.0,OES,,,,,,,,,,,N
237285,2009-06-01,I-09152-4993147,R,"AMENSYS, INC.","101 E. PARK BLVD., SUITE 715",,PLANO,TX,COLLIN,75074,1,2009-09-13,2010-09-13,BUSINESS OBJECTS DEVELOPER,2009-06-01,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,55000,YR,,N,MINNEAPOLIS,MN,53102,Other,2009.0,OES,,,,,,,,,,,N
