,LCA_CASE_NUMBER,STATUS,LCA_CASE_SUBMIT,Decision_Date,VISA_CLASS,LCA_CASE_EMPLOYMENT_START_DATE,LCA_CASE_EMPLOYMENT_END_DATE,LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_ADDRESS,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_SOC_CODE,LCA_CASE_SOC_NAME,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM,LCA_CASE_WAGE_RATE_TO,LCA_CASE_WAGE_RATE_UNIT,FULL_TIME_POS,TOTAL_WORKERS,LCA_CASE_WORKLOC1_CITY,LCA_CASE_WORKLOC1_STATE,PW_1,PW_UNIT_1,PW_SOURCE_1,OTHER_WAGE_SOURCE_1,YR_SOURCE_PUB_1,LCA_CASE_WORKLOC2_CITY,LCA_CASE_WORKLOC2_STATE,PW_2,PW_UNIT_2,PW_SOURCE_2,OTHER_WAGE_SOURCE_2,YR_SOURCE_PUB_2,LCA_CASE_NAICS_CODE
57667,I-200-09240-097915,CERTIFIED-WITHDRAWN,2009-08-28,2009-09-17,H-1B,2009-08-31,2012-08-30,"YOGI KWONG ENGINEERS, LLC",615 PIIKOI STREET,HONOLULU,HI,96814,17-2051.00,Civil Engineers,GEOTECHNICAL ENGINEER,55931.0,,Year,Y,1.0,HONOLULU,HI,55931.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541330.0
27500,I-200-09210-126972,CERTIFIED,2009-07-29,2009-08-04,H-1B,2009-08-05,2012-08-04,ST. HELENA PARISH SCHOOL SYSTEM,354 SITMAN STREET,GREENSBURG,LA,70441,25-2043.00,"Special Education Teachers, Secondary School",TEACHER,40541.0,,Year,Y,1.0,GREENSBURG,LA,37440.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,611110.0
20639,I-200-09203-254349,CERTIFIED,2009-07-22,2009-07-28,H-1B,2009-07-27,2010-07-31,"GLOBAL ASSOCIATES, INC",7106 CORPORATE WAY,DAYTON,OH,45459,15-1021.00,Computer Programmers,PROGRAMMER ANALYST,60000.0,,Year,Y,1.0,ROCHESTER,NY,53934.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
48084,I-200-09232-203296,CERTIFIED,2009-08-20,2009-08-26,H-1B,2009-09-01,2010-08-31,EAST BATON ROUGE PARISH SCHOOL SYSTEM,1050 SOUTH FOSTER DRIVE,BATON ROUGE,LA,70806,25-2021.00,"Elementary School Teachers, Except Special Educati",ELEMENTARY TEACHER,43536.0,,Year,Y,1.0,BATON ROUGE,LA,36680.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,611110.0
48759,I-200-09232-700544,DENIED,2009-08-20,2009-08-26,H-1B,2009-10-01,2012-09-30,"FAMBC ENTERPRISES, INC.",208 SOUTH PLAZA TRAIL,VIRGINIA BEACH,VA,624410,25-2011.00,"Preschool Teachers, Except Special Education",TEACHER,19656.0,19656.0,Year,Y,1.0,VIRGINIA BEACH,VA,19656.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,624410.0
78495,I-200-09261-707647,CERTIFIED,2009-09-18,2009-09-24,H-1B,2010-01-14,2013-01-13,"BRION TECHNOLOGIES, INC.",4211 BURTON DR.,SANTA CLARA,CA,95054,15-1051.00,Computer Systems Analysts,SYSTEM ENGINEER,70304.0,125000.0,Year,Y,1.0,SANTA CLARA,CA,70304.0,Year,Other,FLC WAGE DATA,2009.0,,,,,,,,334413.0
40004,I-200-09223-890397,DENIED,2009-08-11,2009-08-12,H-1B,2009-08-11,2012-08-10,SYSNET TECHNOLOGY SOLUTIONS INC,4320 STEVENS CREEK BLVD,SAN JOSE,CA,95129,15-1051.00,Computer Systems Analysts,COMPUTER SYSTEMS ANALYST,62000.0,65000.0,Year,Y,1.0,FOSTER CITY,CA,61797.0,Month,Other,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
58794,I-200-09240-459371,DENIED,2009-08-28,2009-09-02,H-1B,2009-10-24,2012-10-23,"DESIGN & SOURCE PRODUCTIONS, INC.",30 WEST 22ND STREET,NEW YORK,NY,10010,19-3021.00,Market Research Analysts,MARKET RESEARCH ANALYST,67500.0,,Year,Y,1.0,NEW YORK,NY,42453.0,Year,Other,ONLINE WAGE LIBRARY,2009.0,,,,,,,,313249.0
65090,I-200-09246-376618,CERTIFIED,2009-09-03,2009-09-10,H-1B,2009-10-19,2012-10-18,LAWRENCE BERKELEY NATIONAL LABORATORY,1 CYCLOTRON ROAD,BERKELEY,CA,94720,17-2144.00,"Mechanical Engineers, R&D",PROGRAM MANAGER 2,75000.0,,Year,Y,1.0,BERKELEY,CA,67974.0,Year,OES,,2009.0,,,,,,,,541710.0
58840,I-200-09240-468711,CERTIFIED,2009-09-02,2009-09-09,H-1B,2009-12-01,2012-11-30,UNIVERSITY OF NORTH TEXAS HEALTH SCIENCE CENTER,3500 CAMP BOWIE BLVD.,FORT WORTH,TX,76107-2699,19-1099.99,"Life Scientists, All Other",POSTDOCTORAL RESEARCH ASSOCIATE,37368.0,,Year,Y,1.0,FORT WORTH,TX,25730.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,611310.0
39820,I-200-09223-742919,CERTIFIED,2009-08-11,2009-08-17,H-1B,2009-08-12,2012-08-11,"CARPET ENTERPRISES, INC.",7 JOHN TODD WAY,WEST REDDING,CT,6896,13-2011.01,Accountants,ASSISTANT ACCOUNTING MANAGER,24.0,,Hour,N,1.0,WEST REDDING,CT,23.93,Hour,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,4441.0
40302,I-200-09224-117303,CERTIFIED,2009-08-25,2009-08-31,H-1B,2009-09-07,2012-09-06,"SUSQUEHANNA INTERNATIONAL GROUP, LLP",401 E. CITY AVENUE,BALA CYNWYD,PA,19004,15-1031.00,"Computer Software Engineers, Applications",DATABASE DEVELOPER,66000.0,110000.0,Year,Y,1.0,BALA CYNWYD,PA,65458.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,523110.0
62371,I-200-09244-291908,WITHDRAWN,2009-09-01,2009-09-03,H-1B,2009-10-15,2012-10-14,MAYO CLINIC,200 FIRST STREET SW,ROCHESTER,MN,55905,29-1069.99,"Physicians and Surgeons, All Other",STAFF PHYSICIAN,229.8,,Hour,N,1.0,ROCHESTER,MN,214.76,Hour,Other,WATSON WYATT SURVEY REPORT ON HEALTHCARE CLINICAL,2009.0,,,,,,,,611310.0
48983,I-200-09232-853497,CERTIFIED-WITHDRAWN,2009-08-20,2009-08-26,H-1B,2009-08-20,2012-08-20,"MARLABS, INC",1 CORPORATE PLACE SOUTH,PISCATAWAY,NJ,8854,15-1021.00,Computer Programmers,PROGRAMMER/ANALYST,60000.0,60000.0,Year,Y,1.0,"HERMITAGE,",TN,47674.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
56555,I-200-09239-646038,CERTIFIED,2009-08-27,2009-09-02,H-1B,2009-08-27,2012-07-31,I T WORKFORCE SOLUTIONS LLC,102 CORPORATE DRIVE,LANGHORNE,PA,19047,15-1051.00,Computer Systems Analysts,SYSTEMS ANALYST,30.0,40.0,Hour,Y,1.0,SAN FRANCISCO,CA,29.71,Hour,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
20452,I-200-09203-128849,CERTIFIED,2009-07-22,2009-07-28,H-1B,2009-08-02,2012-01-10,"FACEBOOK, INC.",1601 S. CALIFORNIA AVE.,PALO ALTO,CA,94304,15-1051.00,Computer Systems Analysts,"BUSINESS ANALYST, IT",120000.0,,Year,Y,1.0,PALO ALTO,CA,88629.0,Year,OES,OFLC - ONLINE DATA CENTER,2009.0,,,,,,,,519130.0
71178,I-200-09254-205790,CERTIFIED,2009-09-11,2009-09-17,H-1B,2009-09-18,2011-05-07,"ABACAB SOFTWARE, INC.",2336 WALSH AVENUE,SANTA CLARA,CA,95051,15-1061.00,Database Administrators,DATABASE ADMINISTRATOR,103771.2,,Year,Y,1.0,CORONA,CA,61339.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541510.0
2277,I-200-09146-579509,CERTIFIED-WITHDRAWN,2009-05-26,2009-06-01,H-1B,2009-07-06,2012-07-05,THE UNIVERSITY OF TEXAS M.D. ANDERSON CANCER CENTE,1515 HOLCOMBE BLVD.,HOUSTON,TX,77030,19-2012.00,Physicists,MEDICAL PHYSICS RESIDENT,47946.0,,Year,Y,1.0,HOUSTON,TX,34528.0,Year,OES,,2009.0,,,,,,,,611310.0
22456,I-200-09204-575816,CERTIFIED,2009-07-23,2009-07-29,H-1B,2009-09-01,2011-08-31,RENSSELAER POLYTECHNIC INSTITUTE,110 8TH STREET,TROY,NY,12180-,17-2144.00,"Mechanical Engineers, R&D",SENIOR RESEARCH ASSOCIATE (SCOREC),65000.0,,Year,Y,1.0,TROY,NY,58760.0,Year,OES,,2009.0,,,,,,,,611310.0
19790,I-200-09202-628015,WITHDRAWN,2009-07-21,2009-07-23,H-1B,2009-12-19,2012-12-18,"MANTROSE-HAEUSER COMPANY, INC.",113 OLIVE STREET,ATTLEBORO,MA,2703,19-2031.00,Chemists,RESEARCH SCIENTIST,53300.0,,Year,Y,1.0,ATTLEBORO,MA,31970.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,32551.0
72017,I-200-09254-895530,CERTIFIED,2009-09-14,2009-09-18,H-1B,2009-09-30,2012-09-29,"M.C. DEAN, INC.",22461 SHAW ROAD,DULLES,VA,20166,17-3023.00,Electrical and Electronic Engineering Technicians,ELECTRICAL SYSTEMS TECHNICAL SPECIALIST,23.97,,Hour,Y,1.0,WASHINGTON,DC,23.97,Hour,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541330.0
